Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29/10/2014,353,354.95,350.15,354.4,353.9076684488,208921,4036,73938744,100221,47.97,4.8,1.4
28/10/2014,350,351.7,348.8,350.35,350.1807629583,203576,3087,71288399,104776,51.47,2.9,0.35
27/10/2014,350.55,352,348.1,349.2,349.5305427795,153064,3662,53500543,78929,51.57,3.9,-1.35
23/10/2014,351,351.9,349.7,350.5,350.5311700891,51620,1800,18094419,36355,70.43,2.2,-0.5
22/10/2014,352,352.7,348.6,349.15,350.1386160677,121162,2914,42423495,52509,43.34,4.1,-2.85
21/10/2014,354.9,354.9,348.1,351.45,350.1579878157,174159,4613,60983165,56510,32.45,6.8,-3.45
20/10/2014,355,358,351.3,352.1,354.0599380579,203093,5108,71907095,55476,27.32,6.7,-2.9
17/10/2014,352.9,359.7,351.55,353.9,356.6686745305,429478,12694,153181349,173819,40.47,8.15,1
16/10/2014,344.35,353.5,343.65,352.7,350.5904570075,279514,6723,97994941,92484,33.09,9.85,8.35
14/10/2014,351,351.2,343.55,347.55,346.4122275769,302333,8711,104731848,94689,31.32,7.65,-3.45
13/10/2014,353.2,354,347.25,350.6,349.7239956911,190305,5785,66554225,69142,36.33,6.75,-2.6
10/10/2014,364,365,352.25,353.15,356.0826476605,288889,7569,102868360,122592,42.44,12.75,-10.85
09/10/2014,366.55,368.45,363.05,365.25,365.6839580544,161352,4042,59003838,55520,34.41,5.4,-1.3
08/10/2014,361,367.7,361,365.95,364.7574809429,408772,5731,149102645,284958,69.71,6.7,4.95
07/10/2014,364.3,366.2,358,362.8,362.2636698074,417526,7396,151254501,227255,54.43,8.2,-1.5
01/10/2014,370,370,363.45,364.05,365.2879598053,960325,3666,350795160,873128,90.92,6.55,-5.95
30/09/2014,365.95,372.4,363,370.75,367.6955258183,254974,4760,93752799,98436,38.61,9.4,4.8
29/09/2014,371.55,371.8,364.85,366.4,368.1950088736,127907,3728,47094719,29911,23.38,6.95,-5.15
26/09/2014,376,376,368.8,371.75,372.8997572158,432071,9790,161119171,164882,38.16,7.2,-4.25
25/09/2014,378,379.75,372.4,376.35,377.0549743966,441933,10310,166633036,219528,49.67,7.35,-1.65
24/09/2014,370,378.9,370,376.75,375.8295250338,606001,11654,227753068,340543,56.2,8.9,6.75
23/09/2014,370,374.3,367.85,370.9,371.5061670138,445029,8701,165331018,157770,35.45,6.45,0.9
22/09/2014,357.45,371.7,357.45,370.65,362.389662773,1366053,12062,495043486,1052728,77.06,14.25,13.2
19/09/2014,358.1,360.9,355.25,359.45,358.5047483021,237348,5618,85090385,130756,55.09,5.65,1.35
18/09/2014,353.1,359,353.1,358.6,357.4033954451,229425,6368,81997274,80516,35.09,5.9,5.5
17/09/2014,354,358.5,351.9,354.75,355.8510331427,333497,7713,118675252,143559,43.05,6.6,0.75
16/09/2014,352,354.5,350.1,353.15,352.8878489709,262307,6659,92564953,111438,42.48,4.4,1.15
15/09/2014,355,355,350.75,351.65,352.0033771867,133247,4660,46903394,63102,47.36,4.25,-3.35
12/09/2014,351.7,358.05,350.25,355.85,356.0840973926,340724,6036,121326398,162696,47.75,7.8,4.15
11/09/2014,351.9,352.7,349.4,350.95,351.1556414264,208582,5486,73244746,87642,42.02,3.3,-0.95
10/09/2014,357.85,357.85,350.5,351.05,352.7237314198,302405,7104,106665420,146014,48.28,7.35,-6.8
09/09/2014,352,358.5,352,357.65,355.4487770233,288640,5162,102596735,146363,50.71,6.5,5.65
08/09/2014,352,355,351,353.55,352.909607092,191088,4509,67436791,98800,51.7,4,1.55
05/09/2014,350.95,351.9,348.65,350.3,350.0861436829,151375,3822,52994290,49834,32.92,3.25,-0.65
04/09/2014,349.95,352.8,349.5,350.55,350.7913681888,207581,5402,72817623,74455,35.87,3.3,0.6
03/09/2014,356,356,348.25,348.95,351.4998812958,475973,8060,167304453,238490,50.11,7.75,-7.05
02/09/2014,351.9,356,349,354.8,352.9343007053,281312,6137,99284654,108316,38.5,7,2.9
01/09/2014,356.6,358,349.95,350.3,352.2465032994,381431,4473,134357736,91756,24.06,8.05,-6.3
28/08/2014,352.4,356,351.9,355.15,354.0061497913,163908,3678,58024440,80337,49.01,4.1,2.75
27/08/2014,352.5,354.9,351.35,352.35,353.1735335574,166014,3927,58631751,66626,40.13,3.55,-0.15
26/08/2014,349.3,353.55,349.3,351.9,352.0450915376,248805,5103,87590579,95507,38.39,4.25,2.6
25/08/2014,346.3,350,343.6,349.35,346.827985937,388538,5702,134755852,187856,48.35,6.4,3.05
22/08/2014,347.9,347.9,341.85,343.7,343.9973530969,228569,7159,78627131,107150,46.88,6.05,-4.2
